entity_code,entity_name,counterpart_name,income_level,continent,indicator_code,year,value
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2023,1.0499
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2022,1.253
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2020,5.3972
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2010,0.9859
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2009,0.7861
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1992,7.4999
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1991,0.75
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1989,6.3485
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1988,4.1803
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1987,4.6791
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1986,0.7499
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1985,8.2195
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1984,9.5
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1983,8.8478
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1982,6.1501
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1981,7.0
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1980,7.0
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1978,7.0
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1976,0.7499
BWA,Botswana,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1974,6.0
