entity_code,entity_name,counterpart_name,income_level,continent,year,value
COM,Comoros,African Dev. Bank (official),Lower middle income,Africa,2020,0.75
COM,Comoros,African Dev. Bank (official),Lower middle income,Africa,2017,0.75
COM,Comoros,African Dev. Bank (official),Lower middle income,Africa,1991,0.75
COM,Comoros,African Dev. Bank (official),Lower middle income,Africa,1983,0.75
COM,Comoros,African Dev. Bank (official),Lower middle income,Africa,1982,4.8984
COM,Comoros,African Dev. Bank (official),Lower middle income,Africa,1980,0.7499
COM,Comoros,African Dev. Bank (official),Lower middle income,Africa,1978,0.75
COM,Comoros,African Dev. Bank (official),Lower middle income,Africa,1977,0.7499
COM,Comoros,Arab Bank for Economic Dev. in Africa (BADEA) (official),Lower middle income,Africa,1982,5.0
COM,Comoros,Arab Bank for Economic Dev. in Africa (BADEA) (official),Lower middle income,Africa,1980,2.0
COM,Comoros,Arab Bank for Economic Dev. in Africa (BADEA) (official),Lower middle income,Africa,1976,1.0
COM,Comoros,Bahrain (private),Lower middle income,Africa,2020,3.0
COM,Comoros,China (official),Lower middle income,Africa,2018,1.0
COM,Comoros,China (official),Lower middle income,Africa,2010,1.0
COM,Comoros,European Development Fund (EDF) (official),Lower middle income,Africa,1997,1.0
COM,Comoros,European Economic Community (EEC) (official),Lower middle income,Africa,1980,0.75
COM,Comoros,European Investment Bank (official),Lower middle income,Africa,1980,2.0
COM,Comoros,France (official),Lower middle income,Africa,1994,3.0
COM,Comoros,France (official),Lower middle income,Africa,1990,2.0
COM,Comoros,France (official),Lower middle income,Africa,1989,4.0
COM,Comoros,France (official),Lower middle income,Africa,1988,1.8364
COM,Comoros,France (official),Lower middle income,Africa,1987,1.83
COM,Comoros,France (official),Lower middle income,Africa,1986,1.9517
COM,Comoros,France (official),Lower middle income,Africa,1985,4.1616
COM,Comoros,France (official),Lower middle income,Africa,1984,3.5652
COM,Comoros,France (official),Lower middle income,Africa,1983,1.8404
COM,Comoros,France (official),Lower middle income,Africa,1982,4.1723
COM,Comoros,France (official),Lower middle income,Africa,1981,1.8359
COM,Comoros,France (official),Lower middle income,Africa,1977,4.8888
COM,Comoros,France (official),Lower middle income,Africa,1976,5.0
COM,Comoros,France (official),Lower middle income,Africa,1975,4.503
COM,Comoros,France (official),Lower middle income,Africa,1974,3.1668
COM,Comoros,France (official),Lower middle income,Africa,1973,3.4196
COM,Comoros,France (official),Lower middle income,Africa,1972,3.8373
COM,Comoros,France (official),Lower middle income,Africa,1971,4.2142
COM,Comoros,France (private),Lower middle income,Africa,1980,7.6185
COM,Comoros,India (official),Lower middle income,Africa,2015,1.0
COM,Comoros,International Fund for Agricultural Dev. (official),Lower middle income,Africa,2023,0.75
COM,Comoros,International Fund for Agricultural Dev. (official),Lower middle income,Africa,2021,0.7499
COM,Comoros,International Fund for Agricultural Dev. (official),Lower middle income,Africa,2017,0.4999
COM,Comoros,International Fund for Agricultural Dev. (official),Lower middle income,Africa,2005,1.0
COM,Comoros,International Fund for Agricultural Dev. (official),Lower middle income,Africa,1995,1.0
COM,Comoros,International Fund for Agricultural Dev. (official),Lower middle income,Africa,1992,1.0
COM,Comoros,International Fund for Agricultural Dev. (official),Lower middle income,Africa,1991,1.0
COM,Comoros,International Fund for Agricultural Dev. (official),Lower middle income,Africa,1984,1.0
COM,Comoros,Islamic Dev. Bank (official),Lower middle income,Africa,2017,0.75
COM,Comoros,Islamic Dev. Bank (official),Lower middle income,Africa,1999,2.4999
COM,Comoros,Islamic Dev. Bank (official),Lower middle income,Africa,1996,2.4999
COM,Comoros,Islamic Dev. Bank (official),Lower middle income,Africa,1995,0.7499
COM,Comoros,Islamic Dev. Bank (official),Lower middle income,Africa,1988,2.5
COM,Comoros,Islamic Dev. Bank (official),Lower middle income,Africa,1982,0.7793
COM,Comoros,Islamic Dev. Bank (official),Lower middle income,Africa,1981,1.5
COM,Comoros,Kuwait (official),Lower middle income,Africa,1989,1.0
COM,Comoros,Kuwait (official),Lower middle income,Africa,1982,1.0
COM,Comoros,Kuwait (official),Lower middle income,Africa,1981,1.0
COM,Comoros,Kuwait (official),Lower middle income,Africa,1979,1.0
COM,Comoros,Kuwait (official),Lower middle income,Africa,1976,1.0
COM,Comoros,OPEC Fund for International Dev. (official),Lower middle income,Africa,2023,1.0
COM,Comoros,OPEC Fund for International Dev. (official),Lower middle income,Africa,1991,2.0
COM,Comoros,OPEC Fund for International Dev. (official),Lower middle income,Africa,1986,1.0
COM,Comoros,OPEC Fund for International Dev. (official),Lower middle income,Africa,1982,0.25
COM,Comoros,OPEC Fund for International Dev. (official),Lower middle income,Africa,1980,0.5
COM,Comoros,OPEC Fund for International Dev. (official),Lower middle income,Africa,1978,0.6666
COM,Comoros,OPEC Fund for International Dev. (official),Lower middle income,Africa,1977,0.5
COM,Comoros,Saudi Arabia (official),Lower middle income,Africa,2017,0.75
COM,Comoros,Saudi Arabia (official),Lower middle income,Africa,1983,1.0
COM,Comoros,Saudi Arabia (official),Lower middle income,Africa,1982,1.0
COM,Comoros,Saudi Arabia (official),Lower middle income,Africa,1981,1.9999
