entity_code,entity_name,counterpart_name,income_level,continent,year,value
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2022,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2018,0.7499
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2017,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2016,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2015,0.7499
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2009,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2005,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2004,1.9263
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2002,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2001,1.3596
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,2000,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1999,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1997,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1994,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1992,0.7499
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1990,0.7499
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1989,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1988,0.7499
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1986,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1984,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1983,3.3918
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1982,4.9042
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1980,0.75
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1979,5.5277
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1977,4.0
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1976,7.0
GMB,"Gambia, The",African Dev. Bank (official),Low income,Africa,1974,0.75
GMB,"Gambia, The",Arab African International Bank (official),Low income,Africa,2015,1.0
GMB,"Gambia, The",Arab African International Bank (official),Low income,Africa,2014,1.0
GMB,"Gambia, The",Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2023,1.5
GMB,"Gambia, The",Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2021,1.5
GMB,"Gambia, The",Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2020,1.6454
GMB,"Gambia, The",Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2019,0.9192
GMB,"Gambia, The",Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2012,1.0
GMB,"Gambia, The",Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2011,1.0
GMB,"Gambia, The",Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2008,1.0
