entity_code,entity_name,counterpart_name,income_level,continent,indicator_code,year,value
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2021,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2019,0.7499
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2018,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2017,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2015,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2005,0.7499
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2002,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,2001,0.7499
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1997,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1991,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1990,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1989,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1988,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1987,0.7499
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1984,0.6707
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1983,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1982,7.0
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1980,0.75
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1979,1.8826
GNB,Guinea-Bissau,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1976,0.7499
GNB,Guinea-Bissau,Algeria,Low income,Africa,DT.INR.OFFT,1982,2.0
GNB,Guinea-Bissau,Algeria,Low income,Africa,DT.INR.OFFT,1980,5.0
GNB,Guinea-Bissau,Algeria,Low income,Africa,DT.INR.OFFT,1975,1.3636
GNB,Guinea-Bissau,Angola,Low income,Africa,DT.INR.OFFT,1987,5.0
GNB,Guinea-Bissau,Angola,Low income,Africa,DT.INR.OFFT,1985,5.0
GNB,Guinea-Bissau,Angola,Low income,Africa,DT.INR.OFFT,1984,5.0
GNB,Guinea-Bissau,Angola,Low income,Africa,DT.INR.OFFT,1978,5.0
GNB,Guinea-Bissau,Arab Bank for Economic Dev. in Africa (BADEA),Low income,Africa,DT.INR.OFFT,2017,1.0
GNB,Guinea-Bissau,Arab Bank for Economic Dev. in Africa (BADEA),Low income,Africa,DT.INR.OFFT,1987,5.0
GNB,Guinea-Bissau,Arab Bank for Economic Dev. in Africa (BADEA),Low income,Africa,DT.INR.OFFT,1986,6.0
GNB,Guinea-Bissau,Arab Bank for Economic Dev. in Africa (BADEA),Low income,Africa,DT.INR.OFFT,1983,6.0
GNB,Guinea-Bissau,Arab Bank for Economic Dev. in Africa (BADEA),Low income,Africa,DT.INR.OFFT,1978,1.0
GNB,Guinea-Bissau,Arab Bank for Economic Dev. in Africa (BADEA),Low income,Africa,DT.INR.OFFT,1974,1.0
GNB,Guinea-Bissau,Belgium,Low income,Africa,DT.INR.PRVT,1980,7.5
GNB,Guinea-Bissau,Belgium,Low income,Africa,DT.INR.PRVT,1979,7.5
GNB,Guinea-Bissau,Belgium,Low income,Africa,DT.INR.PRVT,1977,7.9999
GNB,Guinea-Bissau,Bondholders,Low income,Africa,DT.INR.PRVT,2013,6.0
GNB,Guinea-Bissau,Brazil,Low income,Africa,DT.INR.PRVT,1984,8.5
GNB,Guinea-Bissau,Brazil,Low income,Africa,DT.INR.PRVT,1979,6.0
GNB,Guinea-Bissau,Cabo Verde,Low income,Africa,DT.INR.OFFT,1979,4.0
GNB,Guinea-Bissau,Cuba,Low income,Africa,DT.INR.OFFT,1982,1.0
GNB,Guinea-Bissau,Economic Community of West African States (ECOWAS),Low income,Africa,DT.INR.OFFT,1992,6.5
GNB,Guinea-Bissau,Economic Community of West African States (ECOWAS),Low income,Africa,DT.INR.OFFT,1989,6.4999
