entity_code,entity_name,counterpart_name,income_level,continent,indicator_code,year,value
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2023,0.9783
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2021,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2020,1.7499
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2019,1.6346
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2018,3.014
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2017,0.7499
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2016,2.3358
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2014,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2013,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2009,0.4296
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2008,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2007,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2005,1.5211
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2004,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2003,1.0609
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2001,2.3459
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,2000,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,1999,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,1997,0.7499
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,1996,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,1993,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,1991,0.75
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,1990,8.0
MRT,Mauritania,African Dev. Bank,Lower middle income,Africa,DT.INR.OFFT,1989,0.75
