entity_code,entity_name,counterpart_name,income_level,continent,indicator_code,year,value
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2023,7.0199
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2020,1.791
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2019,0.8
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2014,0.3325
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2009,0.7356
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2007,5.3583
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2006,4.3778
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2002,2.0946
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,2001,2.664
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1997,7.3099
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1995,6.7685
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1994,3.0
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1992,7.1038
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1991,7.0
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1989,2.4409
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1988,7.55
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1987,7.6399
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1985,9.8599
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1983,5.6384
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1982,7.0
MUS,Mauritius,African Dev. Bank,Upper middle income,Africa,DT.INR.OFFT,1980,5.1329
