entity_code,entity_name,counterpart_name,income_level,continent,indicator_code,year,value
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1992,8.05
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1991,0.3195
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1990,0.7499
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1988,1.9666
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1986,0.7499
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1985,4.4106
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1981,2.2551
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1980,0.7499
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1979,0.7499
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1978,7.0
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1976,0.75
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1974,4.1896
SDN,Sudan,African Dev. Bank,Low income,Africa,DT.INR.OFFT,1971,5.9999
SDN,Sudan,Arab African International Bank,Low income,Africa,DT.INR.OFFT,1980,10.875
SDN,Sudan,Arab African International Bank,Low income,Africa,DT.INR.OFFT,1978,2.4379
SDN,Sudan,Arab African International Bank,Low income,Africa,DT.INR.OFFT,1977,6.5
SDN,Sudan,Arab African International Bank,Low income,Africa,DT.INR.OFFT,1975,1.0
SDN,Sudan,Arab African International Bank,Low income,Africa,DT.INR.OFFT,1974,8.5
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2017,1.9999
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2016,2.5
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2013,2.5
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2012,2.5
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2011,2.5
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2010,2.5
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2008,2.9999
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2005,3.0
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2004,3.0
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2002,3.0
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2001,2.9999
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,2000,3.0885
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,1988,3.969
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,1986,4.0
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,1984,4.0
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,1983,3.9999
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,1980,4.0
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,1977,3.9999
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,1976,2.7234
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,1975,3.9999
SDN,Sudan,Arab Fund for Economic & Social Development,Low income,Africa,DT.INR.OFFT,1974,2.3829
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,2019,1.91
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,2018,4.3118
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,2015,2.5761
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,2013,1.5809
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,2005,4.11
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,2004,6.045
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,1984,4.2499
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,1983,4.2359
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,1982,4.7674
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,1981,0.5
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,1980,0.5
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,1979,5.6446
SDN,Sudan,Arab Monetary Fund,Low income,Africa,DT.INR.OFFT,1978,5.5
SDN,Sudan,Austria,Low income,Africa,DT.INR.OFFT,1976,8.0
SDN,Sudan,Austria,Low income,Africa,DT.INR.PRVT,1976,7.6544
SDN,Sudan,Austria,Low income,Africa,DT.INR.PRVT,1975,8.3805
SDN,Sudan,Austria,Low income,Africa,DT.INR.PRVT,1974,8.4999
SDN,Sudan,Austria,Low income,Africa,DT.INR.PRVT,1973,6.4999
SDN,Sudan,Austria,Low income,Africa,DT.INR.PRVT,1970,5.5
SDN,Sudan,Belgium,Low income,Africa,DT.INR.OFFT,1978,5.0
SDN,Sudan,Belgium,Low income,Africa,DT.INR.PRVT,1974,8.8495
SDN,Sudan,Belgium,Low income,Africa,DT.INR.PRVT,1972,7.5075
SDN,Sudan,Canada,Low income,Africa,DT.INR.OFFT,1978,11.75
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2010,3.2732
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2009,3.3767
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2008,3.9999
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2007,3.4419
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2006,3.3567
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2005,3.7219
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2004,4.1192
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2003,4.0812
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2002,4.267
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2001,6.2075
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,2000,2.815
SDN,Sudan,China,Low income,Africa,DT.INR.OFFT,1980,12.5
SDN,Sudan,Czechia,Low income,Africa,DT.INR.PRVT,1977,4.5
SDN,Sudan,Czechia,Low income,Africa,DT.INR.OFFT,1975,3.0
SDN,Sudan,Czechia,Low income,Africa,DT.INR.PRVT,1975,3.0
SDN,Sudan,Czechia,Low income,Africa,DT.INR.OFFT,1974,3.0
SDN,Sudan,Czechia,Low income,Africa,DT.INR.OFFT,1973,3.0
SDN,Sudan,Czechia,Low income,Africa,DT.INR.OFFT,1971,3.0
SDN,Sudan,Czechia,Low income,Africa,DT.INR.OFFT,1970,3.0
SDN,Sudan,Denmark,Low income,Africa,DT.INR.OFFT,1978,3.4047
SDN,Sudan,Denmark,Low income,Africa,DT.INR.PRVT,1978,6.5
SDN,Sudan,Denmark,Low income,Africa,DT.INR.PRVT,1977,8.0
SDN,Sudan,Denmark,Low income,Africa,DT.INR.PRVT,1976,8.1934
SDN,Sudan,Denmark,Low income,Africa,DT.INR.PRVT,1974,9.0
SDN,Sudan,Denmark,Low income,Africa,DT.INR.PRVT,1970,6.5
SDN,Sudan,European Development Fund (EDF),Low income,Africa,DT.INR.OFFT,1988,1.7692
SDN,Sudan,European Development Fund (EDF),Low income,Africa,DT.INR.OFFT,1985,2.0
SDN,Sudan,European Development Fund (EDF),Low income,Africa,DT.INR.OFFT,1981,1.0
SDN,Sudan,European Development Fund (EDF),Low income,Africa,DT.INR.OFFT,1979,1.0
SDN,Sudan,European Investment Bank,Low income,Africa,DT.INR.OFFT,1977,5.4999
SDN,Sudan,France,Low income,Africa,DT.INR.OFFT,1982,7.75
SDN,Sudan,France,Low income,Africa,DT.INR.PRVT,1982,10.6
SDN,Sudan,France,Low income,Africa,DT.INR.OFFT,1981,6.1495
SDN,Sudan,France,Low income,Africa,DT.INR.OFFT,1979,3.0
SDN,Sudan,France,Low income,Africa,DT.INR.PRVT,1979,8.0
SDN,Sudan,France,Low income,Africa,DT.INR.OFFT,1978,3.0
SDN,Sudan,France,Low income,Africa,DT.INR.PRVT,1978,8.0
SDN,Sudan,France,Low income,Africa,DT.INR.PRVT,1976,7.7323
SDN,Sudan,France,Low income,Africa,DT.INR.PRVT,1975,7.5
SDN,Sudan,France,Low income,Africa,DT.INR.PRVT,1974,12.25
SDN,Sudan,France,Low income,Africa,DT.INR.PRVT,1973,6.0
SDN,Sudan,France,Low income,Africa,DT.INR.PRVT,1972,7.9
SDN,Sudan,German Dem. Rep.,Low income,Africa,DT.INR.OFFT,1975,8.0
SDN,Sudan,Germany,Low income,Africa,DT.INR.OFFT,1978,0.7499
SDN,Sudan,Germany,Low income,Africa,DT.INR.OFFT,1976,0.75
SDN,Sudan,Germany,Low income,Africa,DT.INR.PRVT,1976,9.5
SDN,Sudan,Germany,Low income,Africa,DT.INR.OFFT,1975,0.75
SDN,Sudan,Germany,Low income,Africa,DT.INR.PRVT,1975,8.3806
SDN,Sudan,Germany,Low income,Africa,DT.INR.OFFT,1974,0.75
SDN,Sudan,Germany,Low income,Africa,DT.INR.OFFT,1973,0.75
SDN,Sudan,Germany,Low income,Africa,DT.INR.OFFT,1972,2.5
SDN,Sudan,Hungary,Low income,Africa,DT.INR.OFFT,1989,2.5
SDN,Sudan,Hungary,Low income,Africa,DT.INR.OFFT,1970,2.875
SDN,Sudan,India,Low income,Africa,DT.INR.OFFT,2015,4.0
SDN,Sudan,India,Low income,Africa,DT.INR.OFFT,2013,1.2695
SDN,Sudan,India,Low income,Africa,DT.INR.OFFT,2007,1.5283
SDN,Sudan,India,Low income,Africa,DT.INR.OFFT,2006,4.0
SDN,Sudan,India,Low income,Africa,DT.INR.OFFT,2004,0.5
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,2007,0.75
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,2005,0.7499
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,2004,0.75
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,2000,0.75
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,1988,1.0
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,1986,1.0
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,1985,1.0
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,1984,1.0
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,1983,0.7499
SDN,Sudan,International Fund for Agricultural Dev.,Low income,Africa,DT.INR.OFFT,1980,1.0
