entity_code,entity_name,counterpart_name,income_level,continent,year,value
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,2022,1.386
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,2019,0.9369
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,2018,0.592
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,2016,0.75
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,2015,0.3262
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,2014,0.3262
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,2004,2.2229
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,2003,1.6854
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,2001,0.7695
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1996,7.3099
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1994,0.75
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1993,6.6473
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1992,8.05
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1989,3.2836
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1988,0.7499
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1987,5.7762
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1984,4.899
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1982,7.0
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1981,7.2173
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1979,0.75
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1977,7.3448
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1975,4.2499
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1974,6.0
SWZ,Eswatini,African Dev. Bank (official),Lower middle income,Africa,1973,5.9999
SWZ,Eswatini,Arab African International Bank (official),Lower middle income,Africa,2015,2.5
SWZ,Eswatini,Arab Bank for Economic Dev. in Africa (BADEA) (official),Lower middle income,Africa,2020,2.0
SWZ,Eswatini,Arab Bank for Economic Dev. in Africa (BADEA) (official),Lower middle income,Africa,2009,2.5
SWZ,Eswatini,Arab Bank for Economic Dev. in Africa (BADEA) (official),Lower middle income,Africa,2006,2.5
SWZ,Eswatini,Arab Bank for Economic Dev. in Africa (BADEA) (official),Lower middle income,Africa,2003,2.0
SWZ,Eswatini,Arab Bank for Economic Dev. in Africa (BADEA) (official),Lower middle income,Africa,1999,3.0
SWZ,Eswatini,Arab Bank for Economic Dev. in Africa (BADEA) (official),Lower middle income,Africa,1976,0.5
SWZ,Eswatini,Canada (official),Lower middle income,Africa,1982,9.0
SWZ,Eswatini,China (official),Lower middle income,Africa,2023,3.5751
SWZ,Eswatini,China (official),Lower middle income,Africa,2020,3.1972
SWZ,Eswatini,China (official),Lower middle income,Africa,2017,3.5751
SWZ,Eswatini,China (official),Lower middle income,Africa,2015,1.7999
SWZ,Eswatini,China (official),Lower middle income,Africa,1998,4.0
SWZ,Eswatini,European Development Fund (EDF) (official),Lower middle income,Africa,1986,1.0
SWZ,Eswatini,European Development Fund (EDF) (official),Lower middle income,Africa,1978,1.0
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,2018,1.7999
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,2003,2.9999
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,1999,3.0
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,1993,2.9999
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,1989,1.0
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,1987,2.0
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,1986,2.0
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,1981,7.9999
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,1980,8.0
SWZ,Eswatini,European Investment Bank (official),Lower middle income,Africa,1978,5.05
SWZ,Eswatini,France (private),Lower middle income,Africa,1982,10.6999
SWZ,Eswatini,Germany (official),Lower middle income,Africa,1998,4.9999
SWZ,Eswatini,Germany (official),Lower middle income,Africa,1991,2.0
SWZ,Eswatini,Germany (official),Lower middle income,Africa,1989,2.0
SWZ,Eswatini,Germany (official),Lower middle income,Africa,1986,1.9999
SWZ,Eswatini,Germany (official),Lower middle income,Africa,1982,2.0
SWZ,Eswatini,Germany (official),Lower middle income,Africa,1978,1.9999
SWZ,Eswatini,Germany (official),Lower middle income,Africa,1977,9.5
SWZ,Eswatini,India (official),Lower middle income,Africa,2021,1.75
SWZ,Eswatini,India (official),Lower middle income,Africa,2012,0.7782
SWZ,Eswatini,India (official),Lower middle income,Africa,2011,0.4537
SWZ,Eswatini,International Fund for Agricultural Dev. (official),Lower middle income,Africa,2019,4.3365
SWZ,Eswatini,International Fund for Agricultural Dev. (official),Lower middle income,Africa,2016,0.4801
SWZ,Eswatini,International Fund for Agricultural Dev. (official),Lower middle income,Africa,2010,0.9444
SWZ,Eswatini,International Fund for Agricultural Dev. (official),Lower middle income,Africa,2003,2.0
SWZ,Eswatini,International Fund for Agricultural Dev. (official),Lower middle income,Africa,1993,4.0
SWZ,Eswatini,International Fund for Agricultural Dev. (official),Lower middle income,Africa,1984,4.0
SWZ,Eswatini,Italy (official),Lower middle income,Africa,2000,0.5932
SWZ,Eswatini,Italy (official),Lower middle income,Africa,1984,2.5
SWZ,Eswatini,Japan (official),Lower middle income,Africa,2008,5.0
SWZ,Eswatini,Japan (official),Lower middle income,Africa,2001,4.9999
SWZ,Eswatini,Kuwait (official),Lower middle income,Africa,2017,1.9999
SWZ,Eswatini,Kuwait (official),Lower middle income,Africa,2016,2.0
SWZ,Eswatini,Kuwait (official),Lower middle income,Africa,2015,1.9999
SWZ,Eswatini,Kuwait (official),Lower middle income,Africa,2009,2.5
