entity_code,entity_name,counterpart_name,income_level,continent,year,value
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2023,7.0451
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2020,2.4252
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2019,1.0
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2018,0.2
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2016,1.2228
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2015,0.431
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2014,0.3349
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2013,0.75
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2009,0.75
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2008,0.75
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2003,0.75
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,2002,0.7499
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,1992,8.05
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,1991,2.7106
AGO,Angola,African Dev. Bank (official),Lower middle income,Africa,1990,7.5
AGO,Angola,African Export-Import Bank (official),Lower middle income,Africa,2023,7.715
AGO,Angola,African Export-Import Bank (official),Lower middle income,Africa,2020,5.9883
AGO,Angola,Austria (private),Lower middle income,Africa,2017,5.7501
AGO,Angola,Austria (private),Lower middle income,Africa,2011,6.6345
AGO,Angola,Belgium (official),Lower middle income,Africa,1989,3.1187
AGO,Angola,Belgium (private),Lower middle income,Africa,2018,5.1466
AGO,Angola,Belgium (private),Lower middle income,Africa,2014,1.8059
AGO,Angola,Belgium (private),Lower middle income,Africa,2005,4.9805
AGO,Angola,Belgium (private),Lower middle income,Africa,1990,7.8
AGO,Angola,Belgium (private),Lower middle income,Africa,1989,9.2736
AGO,Angola,Bondholders (private),Lower middle income,Africa,2022,8.75
AGO,Angola,Bondholders (private),Lower middle income,Africa,2019,8.4687
AGO,Angola,Bondholders (private),Lower middle income,Africa,2018,8.8125
AGO,Angola,Bondholders (private),Lower middle income,Africa,2015,9.5
AGO,Angola,Brazil (official),Lower middle income,Africa,2012,2.2555
AGO,Angola,Brazil (official),Lower middle income,Africa,2010,2.7525
AGO,Angola,Brazil (official),Lower middle income,Africa,2009,4.22
AGO,Angola,Brazil (official),Lower middle income,Africa,2006,0.8894
AGO,Angola,Brazil (official),Lower middle income,Africa,2005,6.5272
AGO,Angola,Brazil (official),Lower middle income,Africa,2004,4.13
AGO,Angola,Brazil (official),Lower middle income,Africa,2003,4.9652
AGO,Angola,Brazil (private),Lower middle income,Africa,2008,6.8587
AGO,Angola,Brazil (private),Lower middle income,Africa,2007,5.3847
AGO,Angola,Brazil (private),Lower middle income,Africa,2006,4.1869
AGO,Angola,Brazil (private),Lower middle income,Africa,2005,7.3217
AGO,Angola,Brazil (private),Lower middle income,Africa,2004,5.0
AGO,Angola,Brazil (private),Lower middle income,Africa,2003,4.1943
AGO,Angola,Brazil (private),Lower middle income,Africa,1998,6.2574
AGO,Angola,Brazil (private),Lower middle income,Africa,1997,6.4241
AGO,Angola,Brazil (private),Lower middle income,Africa,1993,8.5
AGO,Angola,Brazil (private),Lower middle income,Africa,1990,8.5
AGO,Angola,Brazil (private),Lower middle income,Africa,1989,7.5
AGO,Angola,Cabo Verde (private),Lower middle income,Africa,2005,9.0263
AGO,Angola,Canada (official),Lower middle income,Africa,2016,5.1599
AGO,Angola,Canada (official),Lower middle income,Africa,1989,8.8
AGO,Angola,Canada (private),Lower middle income,Africa,2010,1.9624
AGO,Angola,China (official),Lower middle income,Africa,2023,2.0
AGO,Angola,China (official),Lower middle income,Africa,2018,3.2859
AGO,Angola,China (official),Lower middle income,Africa,2017,4.7974
AGO,Angola,China (official),Lower middle income,Africa,2016,4.7887
AGO,Angola,China (official),Lower middle income,Africa,2015,4.334
AGO,Angola,China (official),Lower middle income,Africa,2014,4.2566
AGO,Angola,China (official),Lower middle income,Africa,2013,4.6978
AGO,Angola,China (official),Lower middle income,Africa,2011,3.3478
AGO,Angola,China (official),Lower middle income,Africa,2005,6.59
AGO,Angola,China (official),Lower middle income,Africa,2004,3.0899
AGO,Angola,China (official),Lower middle income,Africa,1990,6.0
AGO,Angola,China (official),Lower middle income,Africa,1989,6.0
AGO,Angola,China (private),Lower middle income,Africa,2018,6.0089
AGO,Angola,China (private),Lower middle income,Africa,2017,5.1807
AGO,Angola,China (private),Lower middle income,Africa,2016,2.0887
AGO,Angola,China (private),Lower middle income,Africa,2015,4.0654
AGO,Angola,China (private),Lower middle income,Africa,2014,3.681
AGO,Angola,China (private),Lower middle income,Africa,2013,3.7689
AGO,Angola,China (private),Lower middle income,Africa,2011,4.6399
AGO,Angola,China (private),Lower middle income,Africa,2010,3.9454
AGO,Angola,China (private),Lower middle income,Africa,2009,3.103
AGO,Angola,China (private),Lower middle income,Africa,2007,7.4
AGO,Angola,Cuba (official),Lower middle income,Africa,1991,7.0
AGO,Angola,Cuba (official),Lower middle income,Africa,1990,7.0
AGO,Angola,Cuba (official),Lower middle income,Africa,1989,7.0
AGO,Angola,Cyprus (private),Lower middle income,Africa,2005,9.0
AGO,Angola,Denmark (private),Lower middle income,Africa,1989,7.4349
AGO,Angola,Egypt (private),Lower middle income,Africa,2019,4.5
AGO,Angola,Egypt (private),Lower middle income,Africa,2015,4.5
AGO,Angola,European Investment Bank (official),Lower middle income,Africa,2018,2.47
AGO,Angola,France (official),Lower middle income,Africa,2022,0.4227
AGO,Angola,France (official),Lower middle income,Africa,2018,1.05
AGO,Angola,France (official),Lower middle income,Africa,1992,4.9315
AGO,Angola,France (official),Lower middle income,Africa,1991,4.9999
AGO,Angola,France (official),Lower middle income,Africa,1990,4.903
AGO,Angola,France (official),Lower middle income,Africa,1989,4.4999
AGO,Angola,France (private),Lower middle income,Africa,2019,1.8501
AGO,Angola,France (private),Lower middle income,Africa,2018,2.8673
AGO,Angola,France (private),Lower middle income,Africa,2015,2.9377
AGO,Angola,France (private),Lower middle income,Africa,2014,3.2269
AGO,Angola,France (private),Lower middle income,Africa,2013,4.3429
AGO,Angola,France (private),Lower middle income,Africa,2011,7.8537
AGO,Angola,France (private),Lower middle income,Africa,2010,6.32
AGO,Angola,France (private),Lower middle income,Africa,2007,7.6207
AGO,Angola,France (private),Lower middle income,Africa,2005,3.75
AGO,Angola,France (private),Lower middle income,Africa,2003,3.75
AGO,Angola,France (private),Lower middle income,Africa,2002,5.3119
AGO,Angola,France (private),Lower middle income,Africa,2001,5.0
AGO,Angola,France (private),Lower middle income,Africa,2000,5.0
AGO,Angola,France (private),Lower middle income,Africa,1999,7.5
