entity_code,entity_name,counterpart_name,income_level,continent,year,value
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2023,3.9509
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2022,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2020,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2019,0.9871
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2018,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2017,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2015,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2014,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2013,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2012,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2011,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2010,0.667
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2009,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2008,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2006,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2005,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2004,0.8209
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2002,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2001,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,2000,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1998,1.2257
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1997,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1996,1.9687
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1994,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1992,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1991,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1990,1.216
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1989,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1988,3.5339
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1987,0.7109
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1986,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1985,0.731
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1984,9.1369
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1983,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1982,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1981,8.5
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1980,0.75
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1979,0.7499
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1978,4.5646
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1977,2.1635
BEN,Benin,African Dev. Bank (official),Lower middle income,Africa,1975,3.6571
