entity_code,entity_name,counterpart_name,income_level,continent,year,value
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,2017,0.75
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,2012,0.75
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1993,0.75
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1991,0.75
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1989,0.75
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1988,0.7499
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1986,0.6634
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1984,0.7348
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1983,0.7499
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1982,6.1466
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1979,0.75
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1978,0.7499
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1977,0.7499
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1975,0.75
CAF,Central African Republic,African Dev. Bank (official),Low income,Africa,1973,7.0
CAF,Central African Republic,Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2018,1.0
CAF,Central African Republic,Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2012,1.0
CAF,Central African Republic,Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2010,1.0
CAF,Central African Republic,Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,2007,1.0
CAF,Central African Republic,Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,1985,5.0
CAF,Central African Republic,Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,1984,6.0
CAF,Central African Republic,Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,1983,6.5
CAF,Central African Republic,Arab Bank for Economic Dev. in Africa (BADEA) (official),Low income,Africa,1982,4.0
CAF,Central African Republic,Argentina (official),Low income,Africa,1986,6.5
CAF,Central African Republic,Austria (private),Low income,Africa,1972,8.2276
CAF,Central African Republic,Austria (private),Low income,Africa,1971,7.0
CAF,Central African Republic,Austria (private),Low income,Africa,1970,9.0
CAF,Central African Republic,China (official),Low income,Africa,2014,1.0
CAF,Central African Republic,Congo Republic (official),Low income,Africa,2013,1.0
CAF,Central African Republic,Denmark (private),Low income,Africa,1985,7.0
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,2011,5.9999
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1992,5.4999
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1991,11.9903
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1990,6.6875
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1989,6.5
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1988,5.9999
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1987,5.9999
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1985,5.9193
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1984,7.5045
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1983,5.6352
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1982,7.5
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1981,10.8939
CAF,Central African Republic,Dev. Bank of the Central African States (BDEAC) (official),Low income,Africa,1980,9.0769
CAF,Central African Republic,European Development Fund (EDF) (official),Low income,Africa,2011,1.0
CAF,Central African Republic,European Development Fund (EDF) (official),Low income,Africa,1993,1.0
CAF,Central African Republic,European Development Fund (EDF) (official),Low income,Africa,1992,1.0
CAF,Central African Republic,European Development Fund (EDF) (official),Low income,Africa,1991,1.0
CAF,Central African Republic,European Development Fund (EDF) (official),Low income,Africa,1989,1.4
CAF,Central African Republic,European Development Fund (EDF) (official),Low income,Africa,1984,0.7499
CAF,Central African Republic,European Development Fund (EDF) (official),Low income,Africa,1983,1.0
CAF,Central African Republic,European Economic Community (EEC) (official),Low income,Africa,1979,0.75
CAF,Central African Republic,France (official),Low income,Africa,1991,1.7999
CAF,Central African Republic,France (official),Low income,Africa,1990,1.9324
CAF,Central African Republic,France (official),Low income,Africa,1989,2.8921
CAF,Central African Republic,France (official),Low income,Africa,1988,1.7486
CAF,Central African Republic,France (official),Low income,Africa,1987,5.4282
CAF,Central African Republic,France (official),Low income,Africa,1986,4.5898
CAF,Central African Republic,France (official),Low income,Africa,1985,3.8996
CAF,Central African Republic,France (official),Low income,Africa,1984,3.6995
CAF,Central African Republic,France (official),Low income,Africa,1983,3.2202
CAF,Central African Republic,France (official),Low income,Africa,1982,4.1116
CAF,Central African Republic,France (official),Low income,Africa,1981,2.4814
CAF,Central African Republic,France (official),Low income,Africa,1980,0.0844
CAF,Central African Republic,France (official),Low income,Africa,1978,7.0
CAF,Central African Republic,France (official),Low income,Africa,1975,2.1408
CAF,Central African Republic,France (official),Low income,Africa,1972,1.7209
CAF,Central African Republic,France (official),Low income,Africa,1971,4.2499
CAF,Central African Republic,France (official),Low income,Africa,1970,4.2499
CAF,Central African Republic,France (private),Low income,Africa,1982,10.0
CAF,Central African Republic,France (private),Low income,Africa,1981,7.4999
CAF,Central African Republic,France (private),Low income,Africa,1977,9.0
CAF,Central African Republic,France (private),Low income,Africa,1975,15.0
CAF,Central African Republic,France (private),Low income,Africa,1973,7.1212
CAF,Central African Republic,France (private),Low income,Africa,1972,7.6579
CAF,Central African Republic,France (private),Low income,Africa,1971,6.16
CAF,Central African Republic,Germany (official),Low income,Africa,1974,2.0
CAF,Central African Republic,Germany (official),Low income,Africa,1972,2.0
CAF,Central African Republic,Germany (private),Low income,Africa,1971,1.9999
CAF,Central African Republic,India (official),Low income,Africa,2012,1.75
CAF,Central African Republic,India (official),Low income,Africa,2008,1.75
CAF,Central African Republic,International Fund for Agricultural Dev. (official),Low income,Africa,2019,1.0
CAF,Central African Republic,International Fund for Agricultural Dev. (official),Low income,Africa,2018,1.0
CAF,Central African Republic,International Fund for Agricultural Dev. (official),Low income,Africa,2012,1.0
CAF,Central African Republic,International Fund for Agricultural Dev. (official),Low income,Africa,1996,1.0
CAF,Central African Republic,International Fund for Agricultural Dev. (official),Low income,Africa,1992,1.0
CAF,Central African Republic,International Fund for Agricultural Dev. (official),Low income,Africa,1990,1.0
CAF,Central African Republic,International Fund for Agricultural Dev. (official),Low income,Africa,1986,1.0
CAF,Central African Republic,International Fund for Agricultural Dev. (official),Low income,Africa,1984,1.0
CAF,Central African Republic,International Fund for Agricultural Dev. (official),Low income,Africa,1979,0.75
CAF,Central African Republic,Israel (private),Low income,Africa,1971,9.5
CAF,Central African Republic,Italy (private),Low income,Africa,1978,8.0
CAF,Central African Republic,Italy (private),Low income,Africa,1977,12.4999
CAF,Central African Republic,Italy (private),Low income,Africa,1976,7.0
CAF,Central African Republic,Italy (private),Low income,Africa,1971,7.0
CAF,Central African Republic,Japan (official),Low income,Africa,1988,1.25
CAF,Central African Republic,Kuwait (official),Low income,Africa,1989,2.5
CAF,Central African Republic,Kuwait (official),Low income,Africa,1983,3.0
CAF,Central African Republic,Kuwait (official),Low income,Africa,1981,3.0
CAF,Central African Republic,Kuwait (official),Low income,Africa,1978,3.0
CAF,Central African Republic,Multiple Lenders (official),Low income,Africa,1992,4.0
CAF,Central African Republic,Multiple Lenders (official),Low income,Africa,1991,5.0
CAF,Central African Republic,Multiple Lenders (private),Low income,Africa,1972,2.5
CAF,Central African Republic,Neth. Antilles (private),Low income,Africa,1978,8.0
CAF,Central African Republic,OPEC Fund for International Dev. (official),Low income,Africa,2012,1.25
CAF,Central African Republic,OPEC Fund for International Dev. (official),Low income,Africa,2010,1.0
CAF,Central African Republic,OPEC Fund for International Dev. (official),Low income,Africa,1986,1.0
CAF,Central African Republic,OPEC Fund for International Dev. (official),Low income,Africa,1985,1.0
CAF,Central African Republic,OPEC Fund for International Dev. (official),Low income,Africa,1982,0.75
CAF,Central African Republic,OPEC Fund for International Dev. (official),Low income,Africa,1976,0.5
CAF,Central African Republic,Saudi Arabia (official),Low income,Africa,2022,1.0
CAF,Central African Republic,Saudi Arabia (official),Low income,Africa,2015,1.0
CAF,Central African Republic,Saudi Arabia (official),Low income,Africa,1987,1.0
CAF,Central African Republic,Saudi Arabia (official),Low income,Africa,1986,3.0
CAF,Central African Republic,Saudi Arabia (official),Low income,Africa,1985,4.0
CAF,Central African Republic,Serbia (private),Low income,Africa,1972,6.6829
CAF,Central African Republic,South Africa (official),Low income,Africa,1978,7.25
CAF,Central African Republic,South Africa (official),Low income,Africa,1977,7.25
CAF,Central African Republic,South Africa (official),Low income,Africa,1975,6.9257
CAF,Central African Republic,Switzerland (private),Low income,Africa,1977,6.9938
CAF,Central African Republic,USSR (official),Low income,Africa,1974,2.5
CAF,Central African Republic,USSR (private),Low income,Africa,1973,3.5
CAF,Central African Republic,USSR (private),Low income,Africa,1972,4.0
CAF,Central African Republic,USSR (private),Low income,Africa,1970,4.0
CAF,Central African Republic,United Kingdom (private),Low income,Africa,1971,6.9999
