entity_code,entity_name,counterpart_name,income_level,continent,year,value
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2022,5.951
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2020,1.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2019,5.9226
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2018,1.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2017,0.8733
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2016,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2015,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2013,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2012,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2011,0.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2010,0.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2009,0.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2008,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2007,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2006,0.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2005,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2004,0.9784
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2003,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2002,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2001,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,2000,0.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1999,0.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1998,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1997,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1992,0.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1991,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1990,5.9527
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1989,6.6349
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1987,0.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1986,8.75
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1985,3.6135
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1984,0.7119
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1981,7.0
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1980,0.7499
GHA,Ghana,African Dev. Bank (official),Lower middle income,Africa,1979,6.4492
