entity_code,entity_name,counterpart_name,income_level,continent,year,value
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2023,4.6846
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2022,1.0911
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2021,1.0499
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2020,1.3968
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2019,1.0919
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2018,0.7038
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2017,1.3176
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2016,0.6333
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2015,0.4892
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2014,0.2835
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2013,0.3648
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2012,0.8926
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2011,1.2269
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2010,0.7711
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2009,1.2514
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2008,4.659
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2007,5.2107
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2006,4.2188
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2005,2.3259
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2004,2.3069
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2003,2.857
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2002,2.1139
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,2001,1.8779
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1997,6.135
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1996,0.7499
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1995,2.3206
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1994,5.0944
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1993,9.5859
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1992,10.7654
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1991,8.2716
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1990,6.2902
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1989,7.4271
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1988,7.3401
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1987,8.3
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1986,7.8619
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1985,9.6842
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1984,8.0
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1983,8.0
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1982,7.75
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1980,7.5
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1979,7.0
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1978,8.1666
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1977,8.0
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1976,8.5
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1974,7.0
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1973,6.9999
MAR,Morocco,African Dev. Bank (official),Lower middle income,Africa,1970,7.0
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2020,1.6
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2019,2.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2016,2.4999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2015,2.9999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2014,3.0
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2013,2.9999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2012,3.0
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2011,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2010,2.9999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2009,2.9999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2008,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2007,4.4999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2006,3.6858
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2005,4.4999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2004,4.4999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2003,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2002,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2001,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,2000,2.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1999,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1998,4.4999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1997,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1996,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1995,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1994,4.4999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1993,4.4999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1992,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1990,4.4999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1989,4.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1987,5.9999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1986,5.9999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1985,6.0
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1984,6.0
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1983,5.9999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1982,5.9999
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1980,6.5
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1977,6.0
MAR,Morocco,Arab Fund for Economic & Social Development (official),Lower middle income,Africa,1975,6.0
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2023,3.9908
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2022,3.3861
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2020,0.5947
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2018,2.88
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2017,2.4501
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2013,1.4692
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2012,1.1225
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2011,1.4297
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2010,1.8973
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2009,2.411
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2005,5.86
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2004,5.86
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2003,4.5663
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2002,5.86
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2001,4.9865
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,2000,5.5678
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1999,4.9999
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1997,5.86
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1992,5.75
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1991,5.75
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1989,5.7499
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1986,4.4481
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1985,4.2174
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1984,4.083
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1982,4.2223
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1981,4.6959
MAR,Morocco,Arab Monetary Fund (official),Lower middle income,Africa,1979,4.313
MAR,Morocco,Austria (official),Lower middle income,Africa,1992,11.8
MAR,Morocco,Austria (official),Lower middle income,Africa,1991,9.75
MAR,Morocco,Austria (official),Lower middle income,Africa,1978,9.0
MAR,Morocco,Austria (private),Lower middle income,Africa,2005,1.2999
MAR,Morocco,Austria (private),Lower middle income,Africa,1990,6.0
