entity_code,entity_name,counterpart_name,income_level,continent,year,value
GEO,Georgia,Armenia (official),Upper middle income,Asia,1994,6.1849
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2023,4.6977
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2022,0.62
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2021,0.5996
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2020,0.5155
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2019,0.6957
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2018,0.5
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2017,1.0061
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2016,1.5808
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2015,1.2738
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2014,1.6734
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2013,1.4475
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2012,1.1493
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2011,1.0313
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2010,0.9995
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2009,1.4338
GEO,Georgia,Asian Dev. Bank (official),Upper middle income,Asia,2008,1.1331
GEO,Georgia,Asian Infrastructure Investment Bank (official),Upper middle income,Asia,2020,0.1651
GEO,Georgia,Asian Infrastructure Investment Bank (official),Upper middle income,Asia,2017,2.8476
GEO,Georgia,Austria (official),Upper middle income,Asia,2006,4.0
GEO,Georgia,Austria (official),Upper middle income,Asia,2005,4.0
GEO,Georgia,Austria (official),Upper middle income,Asia,2004,4.0
GEO,Georgia,Austria (private),Upper middle income,Asia,2017,1.0
GEO,Georgia,Austria (private),Upper middle income,Asia,2012,1.0
GEO,Georgia,Azerbaijan (official),Upper middle income,Asia,1993,4.505
GEO,Georgia,Bondholders (private),Upper middle income,Asia,2021,3.375
GEO,Georgia,Bondholders (private),Upper middle income,Asia,2016,6.75
GEO,Georgia,Bondholders (private),Upper middle income,Asia,2012,7.4583
GEO,Georgia,Bondholders (private),Upper middle income,Asia,2011,6.9
GEO,Georgia,Bondholders (private),Upper middle income,Asia,2010,9.875
GEO,Georgia,Bondholders (private),Upper middle income,Asia,2008,7.5
GEO,Georgia,China (official),Upper middle income,Asia,1994,4.0
GEO,Georgia,Council of Europe (official),Upper middle income,Asia,2016,0.47
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2023,2.7929
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2022,1.0
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2021,1.0
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2020,0.9884
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2019,0.01
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2018,0.3554
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2017,0.9999
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2016,1.2509
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2015,3.68
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2013,0.361
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2010,1.9645
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2009,2.4649
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2008,5.6605
GEO,Georgia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Asia,2006,4.5669
