entity_code,entity_name,counterpart_name,income_level,continent,year,value
HND,Honduras,Argentina (private),Lower middle income,America,1977,7.5
HND,Honduras,Austria (private),Lower middle income,America,2014,1.0
HND,Honduras,Austria (private),Lower middle income,America,2013,0.3281
HND,Honduras,Austria (private),Lower middle income,America,2012,0.2317
HND,Honduras,Austria (private),Lower middle income,America,2010,1.0
HND,Honduras,Austria (private),Lower middle income,America,1979,8.7499
HND,Honduras,Bahamas (private),Lower middle income,America,1981,17.3304
HND,Honduras,Bahamas (private),Lower middle income,America,1980,10.185
HND,Honduras,Bahamas (private),Lower middle income,America,1977,9.6359
HND,Honduras,Bahamas (private),Lower middle income,America,1976,8.935
HND,Honduras,Bahamas (private),Lower middle income,America,1974,15.0649
HND,Honduras,Bondholders (private),Lower middle income,America,2020,5.625
HND,Honduras,Bondholders (private),Lower middle income,America,2017,0.0625
HND,Honduras,Bondholders (private),Lower middle income,America,2013,8.15
HND,Honduras,Bondholders (private),Lower middle income,America,1993,5.46
HND,Honduras,Brazil (official),Lower middle income,America,2013,2.0134
HND,Honduras,Brazil (private),Lower middle income,America,1984,8.0
HND,Honduras,Brazil (private),Lower middle income,America,1973,7.0
HND,Honduras,Canada (official),Lower middle income,America,1981,8.9999
HND,Honduras,Canada (official),Lower middle income,America,1980,9.5
HND,Honduras,Canada (private),Lower middle income,America,1979,14.125
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2023,2.7983
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2022,2.64
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2021,1.9611
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2020,2.3396
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2019,3.024
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2018,2.9031
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2017,1.5369
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2016,4.7445
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2015,1.2927
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2014,0.028
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2013,2.5
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2012,1.3053
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2011,2.4843
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2010,5.4473
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2009,1.9776
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2008,4.9259
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2007,3.0785
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2006,2.0999
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2005,4.736
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2004,5.1611
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2003,3.6502
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2002,7.5139
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,2001,4.1611
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1998,6.988
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1997,7.9141
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1996,5.7832
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1995,6.5589
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1994,7.3456
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1993,7.3373
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1992,7.8793
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1991,8.9626
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1990,8.7081
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1989,9.0067
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1988,8.8373
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1987,8.3796
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1986,6.9575
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1985,8.0784
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1984,9.8678
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1983,7.18
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1982,10.625
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1981,9.4725
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1980,8.5595
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1979,7.9611
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1978,7.5327
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1977,8.8115
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1976,6.1688
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1975,7.6384
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1974,6.3304
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1973,7.2691
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1972,5.3358
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1971,5.6382
HND,Honduras,Central American Bank for Econ. Integration (BCIE) (official),Lower middle income,America,1970,4.5806
HND,Honduras,China (official),Lower middle income,America,2014,1.3628
HND,Honduras,China (official),Lower middle income,America,2011,1.4537
HND,Honduras,China (official),Lower middle income,America,1996,5.0214
HND,Honduras,China (official),Lower middle income,America,1991,4.0
HND,Honduras,China (private),Lower middle income,America,2013,4.3685
HND,Honduras,China (private),Lower middle income,America,2007,3.0999
HND,Honduras,Colombia (private),Lower middle income,America,1983,6.0
HND,Honduras,Costa Rica (official),Lower middle income,America,1988,11.75
HND,Honduras,Costa Rica (official),Lower middle income,America,1987,11.75
HND,Honduras,Costa Rica (official),Lower middle income,America,1986,11.75
HND,Honduras,Costa Rica (official),Lower middle income,America,1985,11.75
HND,Honduras,Denmark (official),Lower middle income,America,1988,8.0
HND,Honduras,Denmark (private),Lower middle income,America,1979,7.6999
HND,Honduras,European Investment Bank (official),Lower middle income,America,2015,0.8447
HND,Honduras,France (official),Lower middle income,America,1997,4.4723
HND,Honduras,France (official),Lower middle income,America,1988,2.0
HND,Honduras,France (official),Lower middle income,America,1986,2.0
HND,Honduras,France (official),Lower middle income,America,1984,2.0
HND,Honduras,France (official),Lower middle income,America,1983,2.0
HND,Honduras,France (official),Lower middle income,America,1982,2.9999
HND,Honduras,France (private),Lower middle income,America,2000,4.1323
HND,Honduras,France (private),Lower middle income,America,1990,9.5649
HND,Honduras,France (private),Lower middle income,America,1988,8.0
HND,Honduras,France (private),Lower middle income,America,1987,7.4
HND,Honduras,France (private),Lower middle income,America,1986,9.9999
HND,Honduras,France (private),Lower middle income,America,1985,10.0976
HND,Honduras,France (private),Lower middle income,America,1984,10.1
HND,Honduras,France (private),Lower middle income,America,1983,9.9478
HND,Honduras,France (private),Lower middle income,America,1982,9.5038
