entity_code,entity_name,counterpart_name,income_level,continent,year,value
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,2008,1.66
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,2006,5.9313
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,2004,2.5828
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,2003,1.7129
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,2002,1.7313
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,2001,3.8661
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,2000,5.6956
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,1999,4.0643
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,1998,4.2347
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,1996,3.8296
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,1994,6.9349
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,1993,4.1937
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,1992,4.88
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,1991,6.3489
IRN,"Iran, Islamic Rep.",Austria (private),Lower middle income,Asia,1990,10.125
IRN,"Iran, Islamic Rep.",Bahrain (private),Lower middle income,Asia,2004,5.5283
IRN,"Iran, Islamic Rep.",Bahrain (private),Lower middle income,Asia,2002,4.7778
IRN,"Iran, Islamic Rep.",Bahrain (private),Lower middle income,Asia,2001,5.452
IRN,"Iran, Islamic Rep.",Belgium (private),Lower middle income,Asia,2002,2.9579
IRN,"Iran, Islamic Rep.",Belgium (private),Lower middle income,Asia,1999,7.1063
IRN,"Iran, Islamic Rep.",Belgium (private),Lower middle income,Asia,1997,10.062
IRN,"Iran, Islamic Rep.",Belgium (private),Lower middle income,Asia,1992,4.5408
IRN,"Iran, Islamic Rep.",Belgium (private),Lower middle income,Asia,1991,11.936
IRN,"Iran, Islamic Rep.",Canada (official),Lower middle income,Asia,2000,8.1249
IRN,"Iran, Islamic Rep.",Canada (official),Lower middle income,Asia,1992,4.255
IRN,"Iran, Islamic Rep.",China (official),Lower middle income,Asia,2005,5.01
IRN,"Iran, Islamic Rep.",China (official),Lower middle income,Asia,2004,3.5799
IRN,"Iran, Islamic Rep.",China (official),Lower middle income,Asia,2002,3.0555
IRN,"Iran, Islamic Rep.",China (official),Lower middle income,Asia,2001,4.0949
IRN,"Iran, Islamic Rep.",China (official),Lower middle income,Asia,2000,7.3739
IRN,"Iran, Islamic Rep.",China (official),Lower middle income,Asia,1999,7.1399
IRN,"Iran, Islamic Rep.",China (official),Lower middle income,Asia,1996,6.6026
IRN,"Iran, Islamic Rep.",China (official),Lower middle income,Asia,1995,6.9604
IRN,"Iran, Islamic Rep.",China (private),Lower middle income,Asia,2015,0.6023
IRN,"Iran, Islamic Rep.",China (private),Lower middle income,Asia,2005,4.5487
IRN,"Iran, Islamic Rep.",China (private),Lower middle income,Asia,2003,1.6982
IRN,"Iran, Islamic Rep.",China (private),Lower middle income,Asia,2001,5.46
IRN,"Iran, Islamic Rep.",China (private),Lower middle income,Asia,2000,5.4678
IRN,"Iran, Islamic Rep.",China (private),Lower middle income,Asia,1997,6.6315
IRN,"Iran, Islamic Rep.",China (private),Lower middle income,Asia,1996,6.7912
IRN,"Iran, Islamic Rep.",China (private),Lower middle income,Asia,1995,7.1212
IRN,"Iran, Islamic Rep.",China (private),Lower middle income,Asia,1994,6.5
IRN,"Iran, Islamic Rep.",Czechia (official),Lower middle income,Asia,2002,4.15
IRN,"Iran, Islamic Rep.",Czechia (official),Lower middle income,Asia,1999,7.19
IRN,"Iran, Islamic Rep.",Czechia (official),Lower middle income,Asia,1998,7.19
IRN,"Iran, Islamic Rep.",Czechia (official),Lower middle income,Asia,1996,6.0999
IRN,"Iran, Islamic Rep.",Czechia (private),Lower middle income,Asia,2010,3.4177
IRN,"Iran, Islamic Rep.",Czechia (private),Lower middle income,Asia,1990,7.1149
IRN,"Iran, Islamic Rep.",Denmark (private),Lower middle income,Asia,2005,5.5809
IRN,"Iran, Islamic Rep.",Denmark (private),Lower middle income,Asia,1994,7.605
IRN,"Iran, Islamic Rep.",Denmark (private),Lower middle income,Asia,1992,4.755
IRN,"Iran, Islamic Rep.",Denmark (private),Lower middle income,Asia,1991,5.065
IRN,"Iran, Islamic Rep.",ECO Trade and Dev. Bank (official),Lower middle income,Asia,2015,3.048
IRN,"Iran, Islamic Rep.",ECO Trade and Dev. Bank (official),Lower middle income,Asia,2013,2.9252
IRN,"Iran, Islamic Rep.",ECO Trade and Dev. Bank (official),Lower middle income,Asia,2011,3.403
IRN,"Iran, Islamic Rep.",ECO Trade and Dev. Bank (official),Lower middle income,Asia,2010,2.5843
IRN,"Iran, Islamic Rep.",ECO Trade and Dev. Bank (official),Lower middle income,Asia,2009,2.765
IRN,"Iran, Islamic Rep.",Finland (private),Lower middle income,Asia,1999,6.881
IRN,"Iran, Islamic Rep.",Finland (private),Lower middle income,Asia,1996,4.7549
IRN,"Iran, Islamic Rep.",Finland (private),Lower middle income,Asia,1992,4.755
IRN,"Iran, Islamic Rep.",Finland (private),Lower middle income,Asia,1991,4.755
IRN,"Iran, Islamic Rep.",France (official),Lower middle income,Asia,1999,9.0259
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,2011,7.8469
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,2006,5.9608
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,2005,4.6208
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,2004,3.6064
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,2003,1.8512
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,2002,3.2433
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,2001,4.851
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,2000,6.1705
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,1999,5.8592
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,1998,7.4676
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,1996,6.54
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,1995,8.369
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,1994,6.5399
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,1992,5.5898
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,1991,5.8087
IRN,"Iran, Islamic Rep.",France (private),Lower middle income,Asia,1990,8.6599
IRN,"Iran, Islamic Rep.",Germany (official),Lower middle income,Asia,1992,4.755
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2019,0.0401
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2018,0.0401
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2012,5.5259
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2006,6.1604
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2005,4.5278
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2004,3.0237
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2003,2.2449
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2002,3.8659
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2001,3.9199
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,2000,6.69
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1999,4.6407
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1998,4.7195
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1997,5.401
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1996,5.7426
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1995,5.8415
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1994,6.5373
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1993,4.2513
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1992,6.6347
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1991,7.769
IRN,"Iran, Islamic Rep.",Germany (private),Lower middle income,Asia,1990,7.988
IRN,"Iran, Islamic Rep.",Greece (private),Lower middle income,Asia,2004,4.5799
IRN,"Iran, Islamic Rep.",Greece (private),Lower middle income,Asia,2003,3.7137
IRN,"Iran, Islamic Rep.",Greece (private),Lower middle income,Asia,2002,4.4032
