entity_code,entity_name,counterpart_name,income_level,continent,year,value
LCA,St. Lucia,African Export-Import Bank (official),Upper middle income,America,2023,6.0
LCA,St. Lucia,Bondholders (private),Upper middle income,America,2015,7.5
LCA,St. Lucia,Bondholders (private),Upper middle income,America,2009,7.2266
LCA,St. Lucia,Bondholders (private),Upper middle income,America,2006,7.18
LCA,St. Lucia,Bondholders (private),Upper middle income,America,2002,7.6944
LCA,St. Lucia,Bondholders (private),Upper middle income,America,2001,9.8999
LCA,St. Lucia,Bondholders (private),Upper middle income,America,2000,8.8999
LCA,St. Lucia,Caribbean Community (CARICOM) (official),Upper middle income,America,2020,3.0
LCA,St. Lucia,Caribbean Community (CARICOM) (official),Upper middle income,America,2011,3.0
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2023,2.7524
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2022,3.3289
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2020,2.5345
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2018,2.4718
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2017,2.8742
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2016,0.5
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2015,0.4898
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2014,3.8709
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2013,2.5
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2012,2.5
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2011,3.4777
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2010,1.8333
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2009,2.5
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2008,2.6001
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2007,2.5
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2004,2.2569
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2003,1.0533
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2002,2.8269
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2001,3.6638
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,2000,2.2645
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1998,3.8968
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1997,2.5
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1996,3.5927
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1995,6.0894
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1994,3.9518
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1993,3.5927
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1992,1.1456
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1991,5.5744
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1990,4.4124
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1988,4.8183
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1987,0.9419
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1986,2.5605
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1985,4.0
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1984,3.9999
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1983,3.9999
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1982,6.2446
LCA,St. Lucia,Caribbean Dev. Bank (official),Upper middle income,America,1981,4.9841
LCA,St. Lucia,European Development Fund (EDF) (official),Upper middle income,America,2001,3.2799
LCA,St. Lucia,European Investment Bank (official),Upper middle income,America,2020,0.0001
LCA,St. Lucia,European Investment Bank (official),Upper middle income,America,1997,3.3499
LCA,St. Lucia,European Investment Bank (official),Upper middle income,America,1986,3.1797
LCA,St. Lucia,European Investment Bank (official),Upper middle income,America,1984,2.0
LCA,St. Lucia,France (official),Upper middle income,America,2003,3.5
LCA,St. Lucia,France (official),Upper middle income,America,2001,5.0
LCA,St. Lucia,France (official),Upper middle income,America,1995,3.5
LCA,St. Lucia,France (official),Upper middle income,America,1991,5.0
LCA,St. Lucia,France (official),Upper middle income,America,1990,5.0
LCA,St. Lucia,France (official),Upper middle income,America,1989,4.0
LCA,St. Lucia,International Fund for Agricultural Dev. (official),Upper middle income,America,1996,6.9
LCA,St. Lucia,International Fund for Agricultural Dev. (official),Upper middle income,America,1984,4.0
LCA,St. Lucia,Kuwait (official),Upper middle income,America,2015,2.9999
LCA,St. Lucia,Kuwait (official),Upper middle income,America,2009,3.4999
LCA,St. Lucia,Kuwait (official),Upper middle income,America,2002,4.0
LCA,St. Lucia,Multiple Lenders (official),Upper middle income,America,2022,3.4056
