entity_code,entity_name,counterpart_name,income_level,continent,year,value
SRB,Serbia,Austria (official),Upper middle income,Europe,2009,1.562
SRB,Serbia,Austria (private),Upper middle income,Europe,2006,4.5
SRB,Serbia,Austria (private),Upper middle income,Europe,1983,9.3711
SRB,Serbia,Austria (private),Upper middle income,Europe,1980,16.12
SRB,Serbia,Austria (private),Upper middle income,Europe,1970,6.0
SRB,Serbia,Azerbaijan (official),Upper middle income,Europe,2012,3.9999
SRB,Serbia,Belgium (official),Upper middle income,Europe,1972,6.0
SRB,Serbia,Belgium (private),Upper middle income,Europe,1983,13.5146
SRB,Serbia,Belgium (private),Upper middle income,Europe,1971,5.8254
SRB,Serbia,Belgium (private),Upper middle income,Europe,1970,6.0
SRB,Serbia,Bondholders (private),Upper middle income,Europe,2023,6.3928
SRB,Serbia,Bondholders (private),Upper middle income,Europe,2022,3.8029
SRB,Serbia,Bondholders (private),Upper middle income,Europe,2021,1.6875
SRB,Serbia,Bondholders (private),Upper middle income,Europe,2020,1.0659
SRB,Serbia,Bondholders (private),Upper middle income,Europe,2019,1.5
SRB,Serbia,Bondholders (private),Upper middle income,Europe,2013,5.275
SRB,Serbia,Bondholders (private),Upper middle income,Europe,2012,6.3928
SRB,Serbia,Bondholders (private),Upper middle income,Europe,2011,7.25
SRB,Serbia,Bulgaria (private),Upper middle income,Europe,2023,7.4819
SRB,Serbia,Canada (official),Upper middle income,Europe,2010,4.6399
SRB,Serbia,Canada (official),Upper middle income,Europe,1977,6.75
SRB,Serbia,Canada (official),Upper middle income,Europe,1972,6.7499
SRB,Serbia,Canada (private),Upper middle income,Europe,1984,11.5
SRB,Serbia,China (official),Upper middle income,Europe,2023,5.992
SRB,Serbia,China (official),Upper middle income,Europe,2022,3.0
SRB,Serbia,China (official),Upper middle income,Europe,2021,2.345
SRB,Serbia,China (official),Upper middle income,Europe,2020,2.0
SRB,Serbia,China (official),Upper middle income,Europe,2019,2.3104
SRB,Serbia,China (official),Upper middle income,Europe,2018,2.5
SRB,Serbia,China (official),Upper middle income,Europe,2017,2.0
SRB,Serbia,China (official),Upper middle income,Europe,2016,2.5
SRB,Serbia,China (official),Upper middle income,Europe,2014,2.5
SRB,Serbia,China (official),Upper middle income,Europe,2013,2.5
SRB,Serbia,China (official),Upper middle income,Europe,2011,3.0
SRB,Serbia,China (official),Upper middle income,Europe,2010,3.0
SRB,Serbia,China (official),Upper middle income,Europe,1999,6.6416
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2023,3.4437
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2022,1.0
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2021,1.0
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2020,0.5501
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2019,4.852
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2016,0.5501
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2015,0.7377
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2012,2.9028
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2011,3.2388
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2010,1.269
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2008,2.9709
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2007,5.0963
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2006,4.642
SRB,Serbia,Council of Europe (official),Upper middle income,Europe,2005,1.84
SRB,Serbia,Cyprus (private),Upper middle income,Europe,2010,5.3359
SRB,Serbia,Czechia (official),Upper middle income,Europe,1972,2.0
SRB,Serbia,Czechia (official),Upper middle income,Europe,1971,2.0
SRB,Serbia,Denmark (official),Upper middle income,Europe,1983,10.35
SRB,Serbia,EUROFIMA (official),Upper middle income,Europe,2010,3.3499
SRB,Serbia,EUROFIMA (official),Upper middle income,Europe,2006,3.3499
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2023,4.0191
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2022,3.6625
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2021,0.9929
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2020,1.0233
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2019,1.0223
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2018,1.7493
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2017,1.6205
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2015,1.1247
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2014,1.0157
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2012,2.369
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2011,2.7153
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2010,1.5966
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2009,1.5955
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2007,5.2076
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2006,4.1824
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2005,2.138
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2004,3.2149
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2003,2.213
SRB,Serbia,European Bank for Reconstruction and Dev. (EBRD) (official),Upper middle income,Europe,2002,4.2611
