entity_code,entity_name,counterpart_name,income_level,continent,year,value
SYR,Syrian Arab Republic,Arab Fund for Economic & Social Development (official),Low income,Asia,2011,3.9999
SYR,Syrian Arab Republic,Arab Fund for Economic & Social Development (official),Low income,Asia,2009,2.9999
SYR,Syrian Arab Republic,Arab Monetary Fund (official),Low income,Asia,2008,2.4091
SYR,Syrian Arab Republic,China (official),Low income,Asia,2008,1.9999
SYR,Syrian Arab Republic,European Investment Bank (official),Low income,Asia,2008,1.4409
SYR,Syrian Arab Republic,Germany (official),Low income,Asia,2009,0.9643
SYR,Syrian Arab Republic,Kuwait (official),Low income,Asia,2008,3.5
SYR,Syrian Arab Republic,Malaysia (official),Low income,Asia,2008,3.7913
SYR,Syrian Arab Republic,OPEC Fund for International Dev. (official),Low income,Asia,2009,4.1999
SYR,Syrian Arab Republic,World (official),Low income,Asia,2011,3.9999
SYR,Syrian Arab Republic,World (official),Low income,Asia,2009,1.9409
SYR,Syrian Arab Republic,World (official),Low income,Asia,2008,1.5917
