entity_code,entity_name,counterpart_name,income_level,continent,year,value
TUR,Turkiye,Argentina (private),Upper middle income,Asia,1989,9.4783
TUR,Turkiye,Argentina (private),Upper middle income,Asia,1988,6.9949
TUR,Turkiye,Argentina (private),Upper middle income,Asia,1986,6.4349
TUR,Turkiye,Argentina (private),Upper middle income,Asia,1985,8.435
TUR,Turkiye,Asian Infrastructure Investment Bank (official),Upper middle income,Asia,2023,5.2211
TUR,Turkiye,Asian Infrastructure Investment Bank (official),Upper middle income,Asia,2022,0.9177
TUR,Turkiye,Asian Infrastructure Investment Bank (official),Upper middle income,Asia,2021,1.2456
TUR,Turkiye,Asian Infrastructure Investment Bank (official),Upper middle income,Asia,2020,1.7694
TUR,Turkiye,Asian Infrastructure Investment Bank (official),Upper middle income,Asia,2019,3.0621
TUR,Turkiye,Asian Infrastructure Investment Bank (official),Upper middle income,Asia,2018,3.6144
TUR,Turkiye,Australia (private),Upper middle income,Asia,1986,6.4349
TUR,Turkiye,Austria (official),Upper middle income,Asia,1999,6.9
TUR,Turkiye,Austria (official),Upper middle income,Asia,1987,6.875
TUR,Turkiye,Austria (official),Upper middle income,Asia,1985,7.375
TUR,Turkiye,Austria (official),Upper middle income,Asia,1983,7.9999
TUR,Turkiye,Austria (official),Upper middle income,Asia,1981,8.3
TUR,Turkiye,Austria (official),Upper middle income,Asia,1980,6.2361
TUR,Turkiye,Austria (official),Upper middle income,Asia,1978,6.0413
TUR,Turkiye,Austria (official),Upper middle income,Asia,1970,3.0
TUR,Turkiye,Austria (private),Upper middle income,Asia,2018,3.1001
TUR,Turkiye,Austria (private),Upper middle income,Asia,2008,4.67
TUR,Turkiye,Austria (private),Upper middle income,Asia,2002,2.3582
TUR,Turkiye,Austria (private),Upper middle income,Asia,2001,4.8685
TUR,Turkiye,Austria (private),Upper middle income,Asia,1999,5.6535
TUR,Turkiye,Austria (private),Upper middle income,Asia,1997,6.7399
TUR,Turkiye,Austria (private),Upper middle income,Asia,1996,7.4222
TUR,Turkiye,Austria (private),Upper middle income,Asia,1995,7.25
