counterpart_name,year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Azerbaijan,Bangladesh,Belarus,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Central African Republic,Chad,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Eritrea,Eswatini,Ethiopia,Fiji,Gabon,"Gambia, The",Georgia,Ghana,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,"Iran, Islamic Rep.",Iraq,Jamaica,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyz Republic,Lao PDR,Lebanon,Lesotho,Liberia,Madagascar,Malawi,Maldives,Mali,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Nepal,Nicaragua,Niger,Nigeria,North Macedonia,Pakistan,Papua New Guinea,Paraguay,Peru,Philippines,Rwanda,Samoa,Sao Tome and Principe,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,Sri Lanka,St. Lucia,St. Vincent and the Grenadines,Sudan,Suriname,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Tunisia,Turkiye,Turkmenistan,Uganda,Ukraine,Uzbekistan,Vanuatu,Viet Nam,"Yemen, Rep.",Zambia,Zimbabwe
African Dev. Bank (official),1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,7.0,,7.0,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,
African Dev. Bank (official),1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9999,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,6.0,,,,,5.9999,,,,,,,,,,,,,,,,,,6.0,
African Dev. Bank (official),1972,,,6.7499,,,,,,,,,,,,,,6.5,,,,,,,,,,,7.0,,7.0267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9999,,6.9999,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,5.9999,,,,,,,,,7.1055,,,6.9999,,5.9999,,,,,,,,,,
African Dev. Bank (official),1973,,,,,,,,,,,6.9999,,,,,,,,,,5.9999,7.0,,,,,6.0,8.0,,8.0,,,,,,,,5.9999,,,,,,7.0,,,,,,,,,,,,,,,6.5,,,,,,7.0,,,,,6.9999,,,,,,6.9999,,,,,,,,,,,,,,,,6.9999,,7.0,,,,,,,,,,,6.9999,,,,,,,,7.0,,,,,,5.9999,
African Dev. Bank (official),1974,,,7.0,,,,,,,,5.5572,,,,6.0,,0.7499,,,,,,0.75,,,,6.0,,,7.0,,,,,6.0,,,6.0,,,,0.75,,7.0,,,6.0,,,,,,,,,,,,6.0,,,,,,7.0,,7.0,,0.7499,0.75,,,,,,7.0,,,,,,7.0,,,,,,,0.75,,,1.0718,,,,0.75,,,,,4.1896,,,,,,,7.0,,6.0,,,7.0,,,,,,6.0,
African Dev. Bank (official),1975,,,,,,,,,,,3.6571,,,,,,2.7842,2.76,,,7.7454,0.75,,,,,6.0,,,7.0,,,,,,,,4.2499,,,6.0,,,6.3902,,,,,,,,,,,,,,,6.0,,,,,0.75,7.0,,6.3042,,0.75,,6.0,,,,,,,,,,0.7499,,,,,,,,,,,0.75,,7.0,,0.75,,,,,,,,,3.1751,,,0.7499,,5.9999,,,,,,,,,,
African Dev. Bank (official),1976,,,7.0,,,,,,,,,,,,0.7499,,0.7499,0.7499,,,8.0,,0.75,,,,6.1666,7.0,,8.0,,,,,6.0,,,,0.75,,6.0,7.0,,7.0,,,7.3342,0.7499,,,,,,,,,,,1.0,,,,,0.7499,,,0.75,,0.75,3.2527,6.5744,,,,,8.5,,,,,0.7499,,,,,,,,0.75,,,7.0,,,,0.75,,,,,0.75,,,,0.75,,,0.75,,7.5,,,,,,,,,,
African Dev. Bank (official),1977,,,,,,,,,,,2.1635,,,,,,0.75,3.9999,,,8.0,0.7499,,,,0.7499,7.0,,,8.2524,,,,,7.5,,,7.3448,0.7499,,7.0,4.0,,7.0,,,,,,,,,,,,,,,8.0,,,,,0.7499,6.6019,2.1358,4.4688,,2.8535,,7.0,,,,,8.0,,,,,4.1799,,,,,,,,0.7499,,,8.0,,0.75,,0.75,,,,,,,,,4.1339,,,7.9999,,7.0,,,8.0,,,,,,,
African Dev. Bank (official),1978,,,8.0,,,,,,,,4.5646,,,,7.0,,0.7499,0.75,,,,0.7499,0.75,,,0.75,4.9268,7.5,,,,,,,7.0,,,,,,7.0,,,7.0,,,4.5019,,,,,,,,,,,,6.9999,,,,,,7.9999,,8.0,,0.75,5.259,7.0,,,,,8.1666,,,,,5.4677,,,,,,,,4.5564,,0.7499,0.75,,7.5592,,,,,,,7.0,,,,0.7499,,,2.5307,,6.9999,,,8.0,,,,,,7.0,
African Dev. Bank (official),1979,,,,,,,,,,,0.7499,,,,,,1.2233,,,,8.5,0.75,,,,,7.0,7.4999,,7.2445,0.75,,,,4.0034,,,0.75,4.2452,,,5.5277,,6.4492,,,0.987,1.8826,,,,,,,,,,,3.4787,,,,,4.6868,8.0,0.75,0.75,,5.1266,0.7499,,,,,,7.0,,,,,0.7499,,,,,,,,0.75,,,7.0,,1.5195,,0.7499,,,,,0.7499,,,,0.75,,,0.75,,7.0,,,,,,,,,3.2766,
